BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
1.71,1.719,0,1,3304034001,0,18,4,16,52,52,,
1.719,1.98,0,1,3304034001,0,18,4,16,241,52,,
1.98,2.05,0,1,3304034001,0,18,4,17,241,52,,
2.05,2.12,0,1,3304034001,0,18,4,17,241,52,,
2.12,2.91,0,1,3304034001,0,18,4,17,241,52,,
0,0.07,0,1,3304035001,0,18,4,17,241,52,,
0,0.294,0,1,3304086001,0,18,4,17,172,52,,
0.294,0.47,0,1,3304086001,0,18,4,17,172,52,,
0.47,0.94,0,1,3304086001,0,18,4,17,172,52,,
0.94,0.95,0,1,3304086001,0,18,4,17,172,52,,
0.95,1.081,0,1,3304086001,0,18,4,17,172,52,,
1.081,1.263,0,1,3304086001,0,18,4,17,172,52,,
1.263,1.94,0,1,3304086001,0,18,4,17,172,52,,
0,0.448,0,1,3304087001,0,18,4,17,266,52,,
0.448,0.506,0,1,3304087001,0,18,4,17,266,52,,
0.506,0.758,0,1,3304087001,0,18,4,17,327,52,,
0.758,0.76,0,1,3304087001,0,18,4,17,327,52,,
0,0.725,0,1,3304088001,0,18,4,17,266,52,,
0.725,1.37,0,1,3304088001,0,18,4,17,266,52,,
0,1.6,0,1,3304125001,0,18,2,18,,52,22,33006
1.6,1.617,0,1,3304125001,0,18,2,18,,52,,
1.617,3.18,0,1,3304125001,0,18,4,17,272,52,,
0,2.09,0,1,3304126001,0,18,2,18,,52,,
2.09,3.38,0,1,3304126001,0,18,2,16,,52,22,33005
0,0.01,0,1,3304127001,0,18,2,16,,52,22,33004
0.01,1.28,0,1,3304127001,0,18,4,16,52,52,22,33004
0,0.01,0,1,3304128001,0,18,4,18,272,52,,
0.01,0.782,0,1,3304128001,0,18,2,18,,52,,
0.782,1.35,0,1,3304128001,0,18,2,18,,52,,
1.35,1.96,0,1,3304128001,0,18,2,18,,52,22,33003
0,2.068,0,1,3304132001,0,18,4,17,60,52,,
2.068,2.555,0,1,3304132001,0,18,4,18,60,52,,
2.555,3.17,0,1,3304132001,0,18,2,18,,52,,
0,3.05,0,1,3304133001,0,18,4,16,52,52,,
0,1.45,0,1,3304134001,0,18,4,16,52,52,,
0,1.715,0,1,3304135001,0,18,4,16,52,52,,
1.715,2.37,0,1,3304135001,0,18,4,16,52,52,,
2.37,4.348,0,1,3304135001,0,18,4,17,52,52,,
4.348,4.574,0,1,3304135001,0,18,2,17,,52,,
4.574,4.645,0,1,3304135001,0,18,4,17,52,52,,
4.645,5.723,0,1,3304135001,0,18,2,17,,52,,
